time_key;trimestre_dt;year;quarter;year_quarter
2005-01-01;2005-01-01;2005;1;2005 Q1
2005-04-01;2005-04-01;2005;2;2005 Q2
2005-07-01;2005-07-01;2005;3;2005 Q3
2006-01-01;2006-01-01;2006;1;2006 Q1
2006-04-01;2006-04-01;2006;2;2006 Q2
2006-07-01;2006-07-01;2006;3;2006 Q3
2006-10-01;2006-10-01;2006;4;2006 Q4
2007-01-01;2007-01-01;2007;1;2007 Q1
2007-04-01;2007-04-01;2007;2;2007 Q2
2007-07-01;2007-07-01;2007;3;2007 Q3
2007-10-01;2007-10-01;2007;4;2007 Q4
2008-01-01;2008-01-01;2008;1;2008 Q1
2008-04-01;2008-04-01;2008;2;2008 Q2
2008-07-01;2008-07-01;2008;3;2008 Q3
2008-10-01;2008-10-01;2008;4;2008 Q4
2009-01-01;2009-01-01;2009;1;2009 Q1
2009-04-01;2009-04-01;2009;2;2009 Q2
2009-07-01;2009-07-01;2009;3;2009 Q3
2009-10-01;2009-10-01;2009;4;2009 Q4
2010-01-01;2010-01-01;2010;1;2010 Q1
2010-04-01;2010-04-01;2010;2;2010 Q2
2010-07-01;2010-07-01;2010;3;2010 Q3
2010-10-01;2010-10-01;2010;4;2010 Q4
2011-01-01;2011-01-01;2011;1;2011 Q1
2011-04-01;2011-04-01;2011;2;2011 Q2
2011-07-01;2011-07-01;2011;3;2011 Q3
2011-10-01;2011-10-01;2011;4;2011 Q4
2012-01-01;2012-01-01;2012;1;2012 Q1
2012-04-01;2012-04-01;2012;2;2012 Q2
2012-07-01;2012-07-01;2012;3;2012 Q3
2012-10-01;2012-10-01;2012;4;2012 Q4
2013-01-01;2013-01-01;2013;1;2013 Q1
2013-04-01;2013-04-01;2013;2;2013 Q2
2013-07-01;2013-07-01;2013;3;2013 Q3
2013-10-01;2013-10-01;2013;4;2013 Q4
2014-01-01;2014-01-01;2014;1;2014 Q1
2014-04-01;2014-04-01;2014;2;2014 Q2
2014-07-01;2014-07-01;2014;3;2014 Q3
2014-10-01;2014-10-01;2014;4;2014 Q4
2015-01-01;2015-01-01;2015;1;2015 Q1
2015-04-01;2015-04-01;2015;2;2015 Q2
2015-07-01;2015-07-01;2015;3;2015 Q3
2015-10-01;2015-10-01;2015;4;2015 Q4
2016-01-01;2016-01-01;2016;1;2016 Q1
2016-04-01;2016-04-01;2016;2;2016 Q2
2016-07-01;2016-07-01;2016;3;2016 Q3
2016-10-01;2016-10-01;2016;4;2016 Q4
2017-01-01;2017-01-01;2017;1;2017 Q1
2017-04-01;2017-04-01;2017;2;2017 Q2
2017-07-01;2017-07-01;2017;3;2017 Q3
2017-10-01;2017-10-01;2017;4;2017 Q4
2018-01-01;2018-01-01;2018;1;2018 Q1
2018-04-01;2018-04-01;2018;2;2018 Q2
2018-07-01;2018-07-01;2018;3;2018 Q3
2018-10-01;2018-10-01;2018;4;2018 Q4
2019-01-01;2019-01-01;2019;1;2019 Q1
2019-04-01;2019-04-01;2019;2;2019 Q2
2019-07-01;2019-07-01;2019;3;2019 Q3
2019-10-01;2019-10-01;2019;4;2019 Q4
2020-01-01;2020-01-01;2020;1;2020 Q1
2020-04-01;2020-04-01;2020;2;2020 Q2
2020-07-01;2020-07-01;2020;3;2020 Q3
2020-10-01;2020-10-01;2020;4;2020 Q4
2021-01-01;2021-01-01;2021;1;2021 Q1
2021-04-01;2021-04-01;2021;2;2021 Q2
2021-07-01;2021-07-01;2021;3;2021 Q3
2021-10-01;2021-10-01;2021;4;2021 Q4
2022-01-01;2022-01-01;2022;1;2022 Q1
2022-04-01;2022-04-01;2022;2;2022 Q2
2022-07-01;2022-07-01;2022;3;2022 Q3
2022-10-01;2022-10-01;2022;4;2022 Q4
2023-01-01;2023-01-01;2023;1;2023 Q1
2023-04-01;2023-04-01;2023;2;2023 Q2
2023-07-01;2023-07-01;2023;3;2023 Q3
2023-10-01;2023-10-01;2023;4;2023 Q4
2024-01-01;2024-01-01;2024;1;2024 Q1
2024-04-01;2024-04-01;2024;2;2024 Q2
2024-07-01;2024-07-01;2024;3;2024 Q3
2024-10-01;2024-10-01;2024;4;2024 Q4
2025-01-01;2025-01-01;2025;1;2025 Q1
2025-04-01;2025-04-01;2025;2;2025 Q2
2025-07-01;2025-07-01;2025;3;2025 Q3
2025-10-01;2025-10-01;2025;4;2025 Q4
